 frequency       HctmagdB        HscmagdB       
 3.07609681e+02 -3.92648533e-01 -4.16160797e-01 
 3.10455959e+02 -3.99622543e-01 -4.23532175e-01 
 3.13328572e+02 -4.06714714e-01 -4.31027748e-01 
 3.16227766e+02 -4.13926852e-01 -4.38649388e-01 
 3.19153786e+02 -4.21260780e-01 -4.46398990e-01 
 3.22106879e+02 -4.28718347e-01 -4.54278467e-01 
 3.25087297e+02 -4.36301417e-01 -4.62289754e-01 
 3.28095293e+02 -4.44011879e-01 -4.70434807e-01 
 3.31131121e+02 -4.51851641e-01 -4.78715602e-01 
 3.34195040e+02 -4.59822633e-01 -4.87134137e-01 
 3.37287309e+02 -4.67926804e-01 -4.95692429e-01 
 3.40408190e+02 -4.76166125e-01 -5.04392515e-01 
 3.43557948e+02 -4.84542587e-01 -5.13236454e-01 
 3.46736850e+02 -4.93058202e-01 -5.22226324e-01 
 3.49945167e+02 -5.01715002e-01 -5.31364224e-01 
 3.53183170e+02 -5.10515040e-01 -5.40652273e-01 
 3.56451133e+02 -5.19460389e-01 -5.50092607e-01 
 3.59749335e+02 -5.28553141e-01 -5.59687386e-01 
 3.63078055e+02 -5.37795411e-01 -5.69438786e-01 
 3.66437575e+02 -5.47189330e-01 -5.79349003e-01 
 3.69828180e+02 -5.56737051e-01 -5.89420254e-01 
 3.73250158e+02 -5.66440746e-01 -5.99654771e-01 
 3.76703799e+02 -5.76302607e-01 -6.10054809e-01 
 3.80189396e+02 -5.86324843e-01 -6.20622639e-01 
 3.83707245e+02 -5.96509685e-01 -6.31360548e-01 
 3.87257645e+02 -6.06859381e-01 -6.42270844e-01 
 3.90840896e+02 -6.17376196e-01 -6.53355851e-01 
 3.94457302e+02 -6.28062415e-01 -6.64617911e-01 
 3.98107171e+02 -6.38920341e-01 -6.76059381e-01 
 4.01790811e+02 -6.49952294e-01 -6.87682635e-01 
 4.05508535e+02 -6.61160610e-01 -6.99490065e-01 
 4.09260660e+02 -6.72547643e-01 -7.11484075e-01 
 4.13047502e+02 -6.84115764e-01 -7.23667087e-01 
 4.16869383e+02 -6.95867360e-01 -7.36041537e-01 
 4.20726628e+02 -7.07804832e-01 -7.48609875e-01 
 4.24619564e+02 -7.19930599e-01 -7.61374565e-01 
 4.28548520e+02 -7.32247093e-01 -7.74338083e-01 
 4.32513831e+02 -7.44756761e-01 -7.87502921e-01 
 4.36515832e+02 -7.57462064e-01 -8.00871580e-01 
 4.40554864e+02 -7.70365477e-01 -8.14446574e-01 
 4.44631267e+02 -7.83469487e-01 -8.28230428e-01 
 4.48745390e+02 -7.96776594e-01 -8.42225678e-01 
 4.52897580e+02 -8.10289310e-01 -8.56434871e-01 
 4.57088190e+02 -8.24010159e-01 -8.70860559e-01 
 4.61317575e+02 -8.37941674e-01 -8.85505308e-01 
 4.65586094e+02 -8.52086400e-01 -9.00371689e-01 
 4.69894109e+02 -8.66446890e-01 -9.15462280e-01 
 4.74241985e+02 -8.81025707e-01 -9.30779667e-01 
 4.78630092e+02 -8.95825422e-01 -9.46326441e-01 
 4.83058802e+02 -9.10848614e-01 -9.62105198e-01 
 4.87528490e+02 -9.26097867e-01 -9.78118539e-01 
 4.92039536e+02 -9.41575774e-01 -9.94369068e-01 
 4.96592321e+02 -9.57284930e-01 -1.01085939e+00 
 5.01187234e+02 -9.73227937e-01 -1.02759212e+00 
 5.05824662e+02 -9.89407400e-01 -1.04456986e+00 
 5.10505000e+02 -1.00582593e+00 -1.06179522e+00 
 5.15228645e+02 -1.02248613e+00 -1.07927081e+00 
