 frequency       HctmagdB        Hsc1magdB       Hsc2magdB       Hsc3magdB       Hsc4magdB       Hsc5magdB      
 2.78286887e+04 -2.88954591e+01 -2.76431287e+01 -2.80202991e+01 -2.80251870e+01 -2.80252142e+01 -2.80252143e+01 
 2.80288879e+04 -2.89576419e+01 -2.76852210e+01 -2.80655164e+01 -2.80705147e+01 -2.80705429e+01 -2.80705430e+01 
 2.82290871e+04 -2.90193832e+01 -2.77267746e+01 -2.81101565e+01 -2.81152661e+01 -2.81152954e+01 -2.81152954e+01 
 2.84292863e+04 -2.90806893e+01 -2.77677964e+01 -2.81542252e+01 -2.81594471e+01 -2.81594775e+01 -2.81594776e+01 
 2.86294855e+04 -2.91415662e+01 -2.78082934e+01 -2.81977284e+01 -2.82030635e+01 -2.82030949e+01 -2.82030951e+01 
 2.88296847e+04 -2.92020199e+01 -2.78482724e+01 -2.82406716e+01 -2.82461209e+01 -2.82461535e+01 -2.82461536e+01 
 2.90298839e+04 -2.92620563e+01 -2.78877399e+01 -2.82830605e+01 -2.82886248e+01 -2.82886585e+01 -2.82886586e+01 
 2.92300831e+04 -2.93216811e+01 -2.79267024e+01 -2.83249005e+01 -2.83305805e+01 -2.83306154e+01 -2.83306156e+01 
 2.94302823e+04 -2.93808998e+01 -2.79651664e+01 -2.83661968e+01 -2.83719934e+01 -2.83720295e+01 -2.83720297e+01 
 2.96304815e+04 -2.94397180e+01 -2.80031380e+01 -2.84069547e+01 -2.84128685e+01 -2.84129059e+01 -2.84129060e+01 
 2.98306807e+04 -2.94981410e+01 -2.80406235e+01 -2.84471792e+01 -2.84532109e+01 -2.84532496e+01 -2.84532497e+01 
 3.00308799e+04 -2.95561740e+01 -2.80776289e+01 -2.84868753e+01 -2.84930256e+01 -2.84930655e+01 -2.84930656e+01 
 3.02310791e+04 -2.96138224e+01 -2.81141601e+01 -2.85260477e+01 -2.85323172e+01 -2.85323584e+01 -2.85323586e+01 
 3.04312783e+04 -2.96710911e+01 -2.81502230e+01 -2.85647014e+01 -2.85710905e+01 -2.85711331e+01 -2.85711332e+01 
 3.06314775e+04 -2.97279850e+01 -2.81858233e+01 -2.86028409e+01 -2.86093500e+01 -2.86093941e+01 -2.86093942e+01 
 3.08316767e+04 -2.97845091e+01 -2.82209667e+01 -2.86404708e+01 -2.86471004e+01 -2.86471458e+01 -2.86471460e+01 
 3.10318759e+04 -2.98406682e+01 -2.82556587e+01 -2.86775956e+01 -2.86843459e+01 -2.86843928e+01 -2.86843930e+01 
 3.12320751e+04 -2.98964668e+01 -2.82899046e+01 -2.87142195e+01 -2.87210910e+01 -2.87211393e+01 -2.87211395e+01 
 3.14322743e+04 -2.99519096e+01 -2.83237101e+01 -2.87503469e+01 -2.87573397e+01 -2.87573895e+01 -2.87573897e+01 
 3.16324735e+04 -3.00070012e+01 -2.83570801e+01 -2.87859820e+01 -2.87930962e+01 -2.87931475e+01 -2.87931477e+01 
 3.18326727e+04 -3.00617458e+01 -2.83900201e+01 -2.88211288e+01 -2.88283645e+01 -2.88284174e+01 -2.88284176e+01 
 3.20328719e+04 -3.01161479e+01 -2.84225350e+01 -2.88557914e+01 -2.88631486e+01 -2.88632031e+01 -2.88632033e+01 
 3.22330711e+04 -3.01702117e+01 -2.84546299e+01 -2.88899737e+01 -2.88974522e+01 -2.88975084e+01 -2.88975086e+01 
 3.24332703e+04 -3.02239415e+01 -2.84863097e+01 -2.89236794e+01 -2.89312793e+01 -2.89313371e+01 -2.89313373e+01 
 3.26334695e+04 -3.02773412e+01 -2.85175792e+01 -2.89569125e+01 -2.89646335e+01 -2.89646929e+01 -2.89646931e+01 
 3.28336687e+04 -3.03304149e+01 -2.85484434e+01 -2.89896766e+01 -2.89975183e+01 -2.89975794e+01 -2.89975797e+01 
 3.30338679e+04 -3.03831666e+01 -2.85789067e+01 -2.90219753e+01 -2.90299373e+01 -2.90300002e+01 -2.90300004e+01 
 3.32340671e+04 -3.04356001e+01 -2.86089740e+01 -2.90538121e+01 -2.90618940e+01 -2.90619586e+01 -2.90619589e+01 
 3.34342663e+04 -3.04877193e+01 -2.86386497e+01 -2.90851906e+01 -2.90933918e+01 -2.90934581e+01 -2.90934584e+01 
 3.36344655e+04 -3.05395279e+01 -2.86679384e+01 -2.91161140e+01 -2.91244339e+01 -2.91245020e+01 -2.91245023e+01 
 3.38346647e+04 -3.05910296e+01 -2.86968444e+01 -2.91465858e+01 -2.91550236e+01 -2.91550936e+01 -2.91550939e+01 
 3.40348639e+04 -3.06422279e+01 -2.87253721e+01 -2.91766092e+01 -2.91851641e+01 -2.91852359e+01 -2.91852362e+01 
 3.42350631e+04 -3.06931265e+01 -2.87535259e+01 -2.92061874e+01 -2.92148585e+01 -2.92149321e+01 -2.92149324e+01 
 3.44352623e+04 -3.07437289e+01 -2.87813099e+01 -2.92353236e+01 -2.92441097e+01 -2.92441852e+01 -2.92441856e+01 
 3.46354615e+04 -3.07940383e+01 -2.88087282e+01 -2.92640208e+01 -2.92729209e+01 -2.92729982e+01 -2.92729986e+01 
 3.48356607e+04 -3.08440583e+01 -2.88357851e+01 -2.92922820e+01 -2.93012948e+01 -2.93013741e+01 -2.93013744e+01 
 3.50358599e+04 -3.08937922e+01 -2.88624844e+01 -2.93201102e+01 -2.93292343e+01 -2.93293155e+01 -2.93293159e+01 
 3.52360591e+04 -3.09432431e+01 -2.88888303e+01 -2.93475082e+01 -2.93567422e+01 -2.93568254e+01 -2.93568258e+01 
 3.54362583e+04 -3.09924143e+01 -2.89148266e+01 -2.93744790e+01 -2.93838212e+01 -2.93839063e+01 -2.93839068e+01 
 3.56364575e+04 -3.10413089e+01 -2.89404773e+01 -2.94010253e+01 -2.94104740e+01 -2.94105611e+01 -2.94105616e+01 
