 frequency       HctmagdB        HscmagdB       
 3.28335045e+04 -3.03303715e+01 -2.89975529e+01 
 3.29336036e+04 -3.03567873e+01 -2.90138214e+01 
 3.30337027e+04 -3.03831232e+01 -2.90299739e+01 
 3.31338018e+04 -3.04093795e+01 -2.90460108e+01 
 3.32339009e+04 -3.04355567e+01 -2.90619326e+01 
 3.33340000e+04 -3.04616554e+01 -2.90777396e+01 
 3.34340991e+04 -3.04876759e+01 -2.90934323e+01 
 3.35341982e+04 -3.05136188e+01 -2.91090111e+01 
 3.36342973e+04 -3.05394845e+01 -2.91244765e+01 
 3.37343964e+04 -3.05652735e+01 -2.91398287e+01 
 3.38344955e+04 -3.05909862e+01 -2.91550682e+01 
 3.39345946e+04 -3.06166230e+01 -2.91701955e+01 
 3.40346937e+04 -3.06421845e+01 -2.91852108e+01 
 3.41347928e+04 -3.06676711e+01 -2.92001146e+01 
 3.42348919e+04 -3.06930831e+01 -2.92149072e+01 
 3.43349910e+04 -3.07184211e+01 -2.92295891e+01 
 3.44350901e+04 -3.07436855e+01 -2.92441606e+01 
 3.45351892e+04 -3.07688766e+01 -2.92586221e+01 
 3.46352883e+04 -3.07939949e+01 -2.92729739e+01 
 3.47353874e+04 -3.08190409e+01 -2.92872164e+01 
 3.48354865e+04 -3.08440150e+01 -2.93013499e+01 
 3.49355856e+04 -3.08689174e+01 -2.93153749e+01 
 3.50356847e+04 -3.08937488e+01 -2.93292916e+01 
 3.51357838e+04 -3.09185094e+01 -2.93431005e+01 
 3.52358829e+04 -3.09431997e+01 -2.93568017e+01 
 3.53359820e+04 -3.09678201e+01 -2.93703958e+01 
 3.54360811e+04 -3.09923709e+01 -2.93838830e+01 
 3.55361802e+04 -3.10168526e+01 -2.93972636e+01 
 3.56362793e+04 -3.10412655e+01 -2.94105380e+01 
 3.57363784e+04 -3.10656101e+01 -2.94237065e+01 
 3.58364775e+04 -3.10898867e+01 -2.94367695e+01 
 3.59365766e+04 -3.11140956e+01 -2.94497271e+01 
 3.60366757e+04 -3.11382374e+01 -2.94625798e+01 
 3.61367748e+04 -3.11623122e+01 -2.94753279e+01 
 3.62368739e+04 -3.11863206e+01 -2.94879716e+01 
 3.63369730e+04 -3.12102628e+01 -2.95005113e+01 
 3.64370721e+04 -3.12341393e+01 -2.95129473e+01 
 3.65371712e+04 -3.12579504e+01 -2.95252798e+01 
 3.66372703e+04 -3.12816964e+01 -2.95375092e+01 
 3.67373694e+04 -3.13053778e+01 -2.95496357e+01 
 3.68374685e+04 -3.13289948e+01 -2.95616597e+01 
 3.69375676e+04 -3.13525478e+01 -2.95735814e+01 
 3.70376667e+04 -3.13760371e+01 -2.95854010e+01 
 3.71377658e+04 -3.13994632e+01 -2.95971189e+01 
 3.72378649e+04 -3.14228263e+01 -2.96087354e+01 
 3.73379640e+04 -3.14461267e+01 -2.96202507e+01 
 3.74380631e+04 -3.14693649e+01 -2.96316651e+01 
 3.75381622e+04 -3.14925411e+01 -2.96429788e+01 
 3.76382613e+04 -3.15156556e+01 -2.96541921e+01 
 3.77383604e+04 -3.15387089e+01 -2.96653053e+01 
 3.78384595e+04 -3.15617012e+01 -2.96763186e+01 
 3.79385586e+04 -3.15846328e+01 -2.96872323e+01 
 3.80386577e+04 -3.16075041e+01 -2.96980466e+01 
 3.81387568e+04 -3.16303153e+01 -2.97087618e+01 
 3.82388559e+04 -3.16530669e+01 -2.97193781e+01 
 3.83389550e+04 -3.16757590e+01 -2.97298957e+01 
 3.84390541e+04 -3.16983921e+01 -2.97403149e+01 
 3.85391532e+04 -3.17209664e+01 -2.97506360e+01 
 3.86392523e+04 -3.17434822e+01 -2.97608591e+01 
 3.87393514e+04 -3.17659398e+01 -2.97709845e+01 
 3.88394505e+04 -3.17883395e+01 -2.97810124e+01 
 3.89395495e+04 -3.18106817e+01 -2.97909431e+01 
 3.90396486e+04 -3.18329666e+01 -2.98007767e+01 
 3.91397477e+04 -3.18551945e+01 -2.98105135e+01 
 3.92398468e+04 -3.18773657e+01 -2.98201537e+01 
 3.93399459e+04 -3.18994805e+01 -2.98296975e+01 
 3.94400450e+04 -3.19215391e+01 -2.98391452e+01 
 3.95401441e+04 -3.19435419e+01 -2.98484968e+01 
 3.96402432e+04 -3.19654892e+01 -2.98577527e+01 
 3.97403423e+04 -3.19873811e+01 -2.98669131e+01 
 3.98404414e+04 -3.20092181e+01 -2.98759781e+01 
 3.99405405e+04 -3.20310003e+01 -2.98849479e+01 
 4.00406396e+04 -3.20527281e+01 -2.98938228e+01 
 4.01407387e+04 -3.20744017e+01 -2.99026029e+01 
