 frequency       Hph1magdB       Hph2magdB      
 3.80189396e+04 -3.12151093e+01 -3.12151093e+01 
 3.89045145e+04 -3.13900336e+01 -3.13900336e+01 
 3.98107171e+04 -3.15637567e+01 -3.15637567e+01 
 4.07380278e+04 -3.17362184e+01 -3.17362184e+01 
 4.16869383e+04 -3.19073551e+01 -3.19073551e+01 
 4.26579519e+04 -3.20771003e+01 -3.20771003e+01 
 4.36515832e+04 -3.22453835e+01 -3.22453835e+01 
 4.46683592e+04 -3.24121307e+01 -3.24121307e+01 
 4.57088190e+04 -3.25772641e+01 -3.25772641e+01 
 4.67735141e+04 -3.27407014e+01 -3.27407014e+01 
 4.78630092e+04 -3.29023560e+01 -3.29023560e+01 
 4.89778819e+04 -3.30621366e+01 -3.30621366e+01 
 5.01187234e+04 -3.32199469e+01 -3.32199469e+01 
 5.12861384e+04 -3.33756852e+01 -3.33756852e+01 
 5.24807460e+04 -3.35292441e+01 -3.35292441e+01 
 5.37031796e+04 -3.36805103e+01 -3.36805103e+01 
 5.49540874e+04 -3.38293639e+01 -3.38293639e+01 
 5.62341325e+04 -3.39756782e+01 -3.39756782e+01 
 5.75439937e+04 -3.41193192e+01 -3.41193192e+01 
 5.88843655e+04 -3.42601450e+01 -3.42601450e+01 
 6.02559586e+04 -3.43980053e+01 -3.43980053e+01 
 6.16595002e+04 -3.45327409e+01 -3.45327409e+01 
 6.30957344e+04 -3.46641828e+01 -3.46641828e+01 
 6.45654229e+04 -3.47921519e+01 -3.47921519e+01 
 6.60693448e+04 -3.49164579e+01 -3.49164579e+01 
 6.76082975e+04 -3.50368983e+01 -3.50368983e+01 
 6.91830971e+04 -3.51532581e+01 -3.51532581e+01 
 7.07945784e+04 -3.52653081e+01 -3.52653081e+01 
 7.24435960e+04 -3.53728042e+01 -3.53728042e+01 
 7.41310241e+04 -3.54754858e+01 -3.54754858e+01 
 7.58577575e+04 -3.55730750e+01 -3.55730750e+01 
 7.76247117e+04 -3.56652742e+01 -3.56652742e+01 
 7.94328235e+04 -3.57517652e+01 -3.57517652e+01 
 8.12830516e+04 -3.58322069e+01 -3.58322069e+01 
 8.31763771e+04 -3.59062331e+01 -3.59062331e+01 
 8.51138038e+04 -3.59734501e+01 -3.59734501e+01 
 8.70963590e+04 -3.60334343e+01 -3.60334343e+01 
 8.91250938e+04 -3.60857288e+01 -3.60857288e+01 
 9.12010839e+04 -3.61298398e+01 -3.61298398e+01 
 9.33254301e+04 -3.61652329e+01 -3.61652329e+01 
 9.54992586e+04 -3.61913283e+01 -3.61913283e+01 
 9.77237221e+04 -3.62074956e+01 -3.62074956e+01 
 1.00000000e+05 -3.62130478e+01 -3.62130478e+01 
